,dataset,curve,error,error_type
28,0,0,0.28,overshoot
29,20,5,0.28,overshoot
30,40,10,0.28,overshoot
31,60,15,0.28,overshoot
32,100,0,0.28,overshoot
33,120,5,0.29000000000000004,overshoot
34,140,10,0.29000000000000004,overshoot
35,160,15,0.29000000000000004,overshoot
36,200,0,0.29000000000000004,overshoot
37,220,5,0.29000000000000004,overshoot
38,240,10,0.29000000000000004,overshoot
39,260,15,0.29000000000000004,overshoot
11,300,0,0.30000000000000004,undershoot
12,320,5,0.30000000000000004,undershoot
13,340,10,0.30000000000000004,undershoot
14,360,15,0.30000000000000004,undershoot
15,400,0,0.30000000000000004,undershoot
16,420,5,0.30000000000000004,undershoot
17,440,10,0.30000000000000004,undershoot
18,460,15,0.30000000000000004,undershoot
19,500,0,0.30000000000000004,undershoot
20,520,5,0.30000000000000004,undershoot
21,540,10,0.30000000000000004,undershoot
22,560,15,0.30000000000000004,undershoot
23,600,0,0.26,undershoot
24,620,5,0.26,undershoot
25,640,10,0.26,undershoot
55,660,15,0.27,overshoot
56,700,0,0.27,overshoot
