,dataset,curve,error,error_type
0,0,0,0.30000000000000004,undershoot
1,20,5,0.30000000000000004,undershoot
2,40,10,0.30000000000000004,undershoot
3,60,15,0.30000000000000004,undershoot
4,100,0,0.30000000000000004,undershoot
5,120,5,0.30000000000000004,undershoot
34,140,10,0.19999999999999996,overshoot
6,160,15,0.30000000000000004,undershoot
7,200,0,0.30000000000000004,undershoot
8,220,5,0.30000000000000004,undershoot
9,240,10,0.30000000000000004,undershoot
10,260,15,0.30000000000000004,undershoot
11,300,0,0.30000000000000004,undershoot
12,320,5,0.30000000000000004,undershoot
13,340,10,0.30000000000000004,undershoot
14,360,15,0.30000000000000004,undershoot
15,400,0,0.30000000000000004,undershoot
16,420,5,0.30000000000000004,undershoot
17,440,10,0.30000000000000004,undershoot
18,460,15,0.30000000000000004,undershoot
19,500,0,0.30000000000000004,undershoot
20,520,5,0.30000000000000004,undershoot
21,540,10,0.30000000000000004,undershoot
22,560,15,0.30000000000000004,undershoot
23,600,0,0.30000000000000004,undershoot
24,620,5,0.30000000000000004,undershoot
25,640,10,0.30000000000000004,undershoot
26,660,15,0.30000000000000004,undershoot
27,700,0,0.30000000000000004,undershoot
